# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 61  of event 'cpu-clock'
# Event count (approx.): 15250000
#
# Children      Self    Pid:Command          Command          Shared Object            Symbol                                               
# ........  ........  .....................  ...............  .......................  .....................................................
#
	 1.64%     1.64%   8256:firefox          firefox          libc-2.23.so             [.] __GI___libc_poll
     6.56%     0.00%   8256:firefox          firefox          [kernel.kallsyms]        [k] entry_SYSCALL_64_fastpath                        
     6.56%     0.00%   8256:firefox          firefox          [unknown]                [.] 0000000000000000                                 
     6.56%     0.00%   8266:Gecko_IOThread   Gecko_IOThread   [kernel.kallsyms]        [k] entry_SYSCALL_64_fastpath                        
     6.56%     0.00%   8266:Gecko_IOThread   Gecko_IOThread   [unknown]                [.] 0x0000000000000001                               
     6.56%     0.00%   8266:Gecko_IOThread   Gecko_IOThread   [unknown]                [.] 0x62094cac8053fe00                               
     6.56%     0.00%   8284:Softwar~cThread  Softwar~cThread  libxul.so                [.] 0xffff809968b34700                               
     6.56%     0.00%   8284:Softwar~cThread  Softwar~cThread  [unknown]                [.] 0x0000000000000004                               
     6.56%     0.00%   8284:Softwar~cThread  Softwar~cThread  [unknown]                [.] 0x00000000a2bbc464                               
     6.56%     0.00%   8284:Softwar~cThread  Softwar~cThread  [unknown]                [.] 0x00002825048b4864                               
     4.92%     4.92%   8256:firefox          firefox          [kernel.kallsyms]        [k] finish_task_switch                               
     4.92%     0.00%   8256:firefox          firefox          [kernel.kallsyms]        [k] __schedule                                       
     4.92%     0.00%   8256:firefox          firefox          [kernel.kallsyms]        [k] schedule                                         
     4.92%     0.00%   8266:Gecko_IOThread   Gecko_IOThread   [kernel.kallsyms]        [k] ep_poll                                          
     4.92%     0.00%   8266:Gecko_IOThread   Gecko_IOThread   [kernel.kallsyms]        [k] sys_epoll_wait                                   
     4.92%     0.00%   8266:Gecko_IOThread   Gecko_IOThread   libc-2.23.so             [.] syscall                                          
     3.28%     3.28%   8256:firefox          firefox          libxul.so                [.] 0x000000000092c80c                               
     3.28%     3.28%   8266:Gecko_IOThread   Gecko_IOThread   [kernel.kallsyms]        [k] finish_task_switch                               
     3.28%     3.28%   8284:Softwar~cThread  Softwar~cThread  [kernel.kallsyms]        [k] finish_task_switch                               
     3.28%     1.64%   8256:firefox          firefox          libpthread-2.23.so       [.] __GI___libc_recvmsg                              
     3.28%     0.00%   8256:firefox          firefox          [kernel.kallsyms]        [k] do_sys_poll                                      
     3.28%     0.00%   8256:firefox          firefox          [kernel.kallsyms]        [k] poll_schedule_timeout                            
     3.28%     0.00%   8256:firefox          firefox          [kernel.kallsyms]        [k] schedule_hrtimeout_range                         
     3.28%     0.00%   8256:firefox          firefox          [kernel.kallsyms]        [k] schedule_hrtimeout_range_clock                   
     3.28%     0.00%   8256:firefox          firefox          [kernel.kallsyms]        [k] sys_poll                                         
     3.28%     0.00%   8256:firefox          firefox          libc-2.23.so             [.] 0xffff809951c5380d                               
     3.28%     0.00%   8256:firefox          firefox          libxul.so                [.] 0xffff8099664ad80c                               
     3.28%     0.00%   8256:firefox          firefox          libxul.so                [.] 0xffff809968a2d4b0                               
     3.28%     0.00%   8256:firefox          firefox          [unknown]                [k] 0xff24448d491374e4                               
     3.28%     0.00%   8256:firefox          firefox          [unknown]                [.] 0x0000000000000001                               
     3.28%     0.00%   8256:firefox          firefox          [unknown]                [k] 0x0000000000000285                               
     3.28%     0.00%   8256:firefox          firefox          [unknown]                [.] 0x0000000001000001                               
     3.28%     0.00%   8256:firefox          firefox          [unknown]                [.] 0x00007f66a226dd08                               
     3.28%     0.00%   8256:firefox          firefox          [unknown]                [.] 0x00401f0ffda7a954                               
     3.28%     0.00%   8266:Gecko_IOThread   Gecko_IOThread   [kernel.kallsyms]        [k] __schedule                                       
     3.28%     0.00%   8266:Gecko_IOThread   Gecko_IOThread   [kernel.kallsyms]        [k] schedule                                         
     3.28%     0.00%   8266:Gecko_IOThread   Gecko_IOThread   [kernel.kallsyms]        [k] schedule_hrtimeout_range                         
     3.28%     0.00%   8266:Gecko_IOThread   Gecko_IOThread   [kernel.kallsyms]        [k] schedule_hrtimeout_range_clock                   
     3.28%     0.00%   8284:Softwar~cThread  Softwar~cThread  [kernel.kallsyms]        [k] __schedule                                       
     3.28%     0.00%   8284:Softwar~cThread  Softwar~cThread  [kernel.kallsyms]        [k] do_futex                                         
     3.28%     0.00%   8284:Softwar~cThread  Softwar~cThread  [kernel.kallsyms]        [k] entry_SYSCALL_64_fastpath                        
